	2024												2025											
	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
																								
Cost of Goods Sold																								
Process Labor	"$70,701 "	"$56,575 "	"$62,343 "	"$60,716 "	"$62,900 "	"$58,091 "	"$64,616 "	"$65,074 "	"$86,473 "	"$78,567 "	"$82,756 "	"$77,554 "	"$82,000 "	"($31,820)"										
Raw Material	"$5,611 "	"$14,850 "	"$7,307 "	"$10,974 "	"$43,462 "	"$11,828 "	"$16,412 "	"$41,627 "	"$9,095 "	"$45,503 "	"$67,254 "	"$85,516 "	"$60,096 "	"$8,811 "										
Packaging	$931 	"$18,972 "	"$6,075 "	"$24,849 "	"$6,300 "	"$28,721 "	"$19,721 "	"$13,682 "	"$32,928 "	"$36,498 "	"$16,208 "	"$1,515 "	"$64,260 "	"$30,992 "										
Maintenance	"$9,526 "	"$20,273 "	"$5,362 "	"$26,674 "	"$15,150 "	"$11,975 "	"$20,505 "	"$8,731 "	"$12,530 "	"$21,745 "	"$15,466 "	"$21,703 "	"$59,076 "	"$13,929 "										
Waste	"$14,498 "	"$29,467 "	"$17,957 "	"$22,602 "	"$13,268 "	"$10,223 "	"$14,433 "	"$19,493 "	"$21,719 "	"$19,204 "	"$18,037 "	"$28,299 "	"$22,292 "	$854 										
Inventory	"($71,501)"	"($4,882)"	"$24,131 "	"$13,255 "	"$71,211 "	"$30,757 "	"$26,195 "	"$19,355 "	($8)	"$20,456 "	"$23,916 "	"($26,253)"	"$45,782 "	"$13,095 "										
Utilities	"$7,837 "	"$9,193 "	"$8,724 "	"$6,955 "	"$6,221 "	"$5,776 "	"$6,092 "	"$6,955 "	"$7,640 "	"$7,637 "	"$7,961 "	"$8,794 "	"$11,269 "	$0 										
Shipping	"$8,137 "	"$9,597 "	"$9,003 "	"$4,348 "	"($1,810)"	"$14,459 "	"$6,949 "	"$6,507 "	"$40,018 "	"($35,679)"	"$29,709 "	"$11,929 "	"($11,265)"	"($25,820)"										
Total COGS	"$45,739 "	"$154,044 "	"$140,903 "	"$170,374 "	"$216,701 "	"$171,829 "	"$174,923 "	"$181,425 "	"$210,395 "	"$193,932 "	"$261,306 "	"$209,057 "	"$333,510 "	"$10,041 "										
Unit Process Labor	$0.14 	$0.07 	$0.05 	$0.06 	$0.04 	$0.05 	$0.05 	$0.05 	$0.06 	$0.04 	$0.07 	$0.09 	$0.05 	($0.04)										
Unit Raw Material	$0.01 	$0.02 	$0.01 	$0.01 	$0.03 	$0.01 	$0.01 	$0.03 	$0.01 	$0.02 	$0.05 	$0.10 	$0.04 	$0.01 										
Unit Packaging	$0.00 	$0.02 	$0.01 	$0.02 	$0.00 	$0.02 	$0.01 	$0.01 	$0.02 	$0.02 	$0.01 	$0.00 	$0.04 	$0.04 										
Unit Maintenance	$0.02 	$0.03 	$0.00 	$0.02 	$0.01 	$0.01 	$0.02 	$0.01 	$0.01 	$0.01 	$0.01 	$0.02 	$0.04 	$0.02 										
Unit Waste	$0.03 	$0.04 	$0.02 	$0.02 	$0.01 	$0.01 	$0.01 	$0.01 	$0.02 	$0.01 	$0.01 	$0.03 	$0.01 	$0.00 										
Unit Inventory	($0.14)	($0.01)	$0.02 	$0.01 	$0.04 	$0.02 	$0.02 	$0.01 	$0.00 	$0.01 	$0.02 	($0.03)	$0.03 	$0.02 										
Unit Utilities	$0.02 	$0.01 	$0.01 	$0.01 	$0.00 	$0.01 	$0.00 	$0.01 	$0.01 	$0.00 	$0.01 	$0.01 	$0.01 	$0.00 										
Unit Shipping	$0.02 	$0.01 	$0.01 	$0.00 	$0.00 	$0.01 	$0.01 	$0.01 	$0.03 	($0.02)	$0.02 	$0.01 	($0.01)	($0.03)										
Total Unit COGS	$0.09 	$0.19 	$0.12 	$0.15 	$0.13 	$0.14 	$0.13 	$0.13 	$0.15 	$0.10 	$0.21 	$0.23 	$0.22 	$0.01 										
																								
SG&A Expenses																								
Professional Fees	"$52,208 "	"$52,208 "	"$52,208 "	"$55,208 "	"$53,928 "	"$67,877 "	"$52,208 "	"$52,208 "	"$56,176 "	"$52,208 "	"$52,208 "	"$52,208 "	"$52,208 "	$0 										
Sales & Marketing	"$16,587 "	"$21,302 "	"$26,658 "	"$25,508 "	"$34,993 "	"$35,453 "	"$32,619 "	"$34,496 "	"$45,333 "	"$48,650 "	"$55,945 "	"$69,730 "	"$95,052 "	"$8,360 "										
Overhead Labor	"$26,592 "	"$28,706 "	"$31,863 "	"$31,730 "	"$40,878 "	"$30,954 "	"$19,118 "	"$14,859 "	"$17,171 "	"$14,862 "	"$14,456 "	"$14,450 "	"$15,981 "	"($6,128)"										
Benefits	"$20,711 "	"$17,370 "	"$14,201 "	"$14,201 "	"$14,201 "	"$27,345 "	"$18,160 "	"$13,632 "	"$13,633 "	"$14,012 "	"$16,253 "	"$14,846 "	"$17,047 "	"$2,013 "										
Accounting	"$18,973 "	"$7,574 "	"$7,574 "	"$7,724 "	"$8,212 "	"$7,974 "	"$7,724 "	"$7,724 "	"$3,580 "	"$3,580 "	"$7,724 "	"$7,724 "	"$18,818 "	$0 										
Equipment Rental	"$2,306 "	"$8,544 "	"$13,046 "	"$5,055 "	"$5,425 "	"$5,067 "	"$5,020 "	"$12,498 "	"$4,993 "	"$11,445 "	"$6,381 "	"$8,119 "	"$12,745 "	"$1,881 "										
Tax	$0 	$0 	$0 	"$27,139 "	$0 	"$18,295 "	$0 	$0 	$0 	$0 	$0 	"$46,744 "	$0 	$0 										
Insurance	"$9,349 "	"$9,183 "	"$9,313 "	"$9,302 "	"$9,813 "	"$5,890 "	"$5,899 "	"$5,936 "	"$6,295 "	"$1,877 "	"$2,569 "	"$1,895 "	"$8,178 "	$0 										
Office	"$4,641 "	"$4,531 "	"$4,301 "	"$5,237 "	"$5,600 "	"$5,395 "	"$4,626 "	"$5,215 "	"$6,024 "	"$4,488 "	"$4,967 "	"$7,898 "	"$6,597 "	$247 										
Banking	"$1,952 "	"$2,017 "	"$2,419 "	"$2,198 "	"$3,270 "	"$2,417 "	"$5,542 "	"$2,203 "	"$3,400 "	"$3,079 "	"$4,172 "	"$2,411 "	"$2,455 "	$20 										
R&D	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$25,564 "	"$3,322 "	$0 	"$2,172 "										
Warehouse	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$1,142 "	"$3,142 "	"$6,523 "	"$4,664 "	"$1,192 "										
Misc	"$1,668 "	$71 	$735 	"$6,658 "	$670 	"$2,221 "	$528 	"$1,459 "	$513 	"$2,353 "	$15 	"$4,412 "	"$2,358 "	"$1,139 "										
Legal	$680 	$0 	"$1,510 "	"$5,533 "	"$1,808 "	$0 	$0 	$0 	$138 	$0 	$0 	$784 	$0 	$0 										
Total Expenses	"$156,809 "	"$152,649 "	"$164,970 "	"$196,635 "	"$179,938 "	"$210,032 "	"$152,585 "	"$151,372 "	"$158,397 "	"$157,696 "	"$193,395 "	"$241,067 "	"$236,103 "	"$10,898 "										
Unit Professional Fees	$0.10 	$0.06 	$0.04 	$0.05 	$0.03 	$0.05 	$0.04 	$0.04 	$0.04 	$0.03 	$0.04 	$0.06 	$0.03 	$0.00 										
Unit Sales & Marketing	$0.03 	$0.03 	$0.02 	$0.02 	$0.02 	$0.03 	$0.02 	$0.02 	$0.03 	$0.03 	$0.05 	$0.08 	$0.06 	$0.01 										
Unit Overhead Labor	$0.05 	$0.04 	$0.03 	$0.03 	$0.03 	$0.02 	$0.01 	$0.01 	$0.01 	$0.01 	$0.01 	$0.02 	$0.01 	($0.01)										
Unit Benefits	$0.04 	$0.02 	$0.01 	$0.01 	$0.01 	$0.02 	$0.01 	$0.01 	$0.01 	$0.01 	$0.01 	$0.02 	$0.01 	$0.00 										
Unit Accounting	$0.04 	$0.01 	$0.01 	$0.01 	$0.01 	$0.01 	$0.01 	$0.01 	$0.00 	$0.00 	$0.01 	$0.01 	$0.01 	$0.00 										
Unit Equipment Rental	$0.00 	$0.01 	$0.01 	$0.01 	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 	$0.01 	$0.01 	$0.01 	$0.01 	$0.00 										
Unit Tax	$0.00 	$0.00 	$0.00 	$0.02 	$0.00 	$0.01 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.05 	$0.00 	$0.00 										
Unit Insurance	$0.02 	$0.01 	$0.01 	$0.01 	$0.01 	$0.01 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 										
Unit Office	$0.01 	$0.01 	$0.00 	$0.01 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 	$0.00 										
Unit Banking	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 										
Unit R&D	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.02 	$0.00 	$0.00 	$0.00 										
Unit Warehouse	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 	$0.00 										
Unit Misc	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 	$0.00 										
Unit Legal	$0.00 	$0.00 	$0.00 	$0.01 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 										
Total Unit Expenses	$0.30 	$0.19 	$0.14 	$0.18 	$0.11 	$0.16 	$0.11 	$0.11 	$0.11 	$0.09 	$0.15 	$0.27 	$0.15 	$0.01 										
																								
Total Costs	"$202,548 "	"$306,693 "	"$305,872 "	"$367,008 "	"$396,640 "	"$381,861 "	"$327,509 "	"$332,797 "	"$368,792 "	"$351,628 "	"$454,701 "	"$450,124 "	"$569,613 "	"$20,939 "										
Unit Total Costs	$0.39 	$0.38 	$0.25 	$0.33 	$0.25 	$0.30 	$0.24 	$0.23 	$0.26 	$0.19 	$0.36 	$0.50 	$0.37 	$0.03 										
																								
All Orders																								
Total Orders	68	64	71	86	87	79	82	105	97	124	100	81	133	74										
Tons	258	407	605	555	810	638	692	716	703	931	628	446	769	422										
Product Revenue	"$142,952 "	"$207,255 "	"$325,919 "	"$303,528 "	"$452,532 "	"$372,643 "	"$416,429 "	"$420,093 "	"$421,331 "	"$536,073 "	"$360,713 "	"$262,536 "	"$454,099 "	"$241,018 "										
Tons/Order	3.8	6.4	8.5	6.5	9.3	8.1	8.4	6.8	7.2	7.5	6.3	5.5	5.8	5.7										
Revenue/Order	"$2,102 "	"$3,238 "	"$4,590 "	"$3,529 "	"$5,202 "	"$4,717 "	"$5,078 "	"$4,001 "	"$4,344 "	"$4,323 "	"$3,607 "	"$3,241 "	"$3,414 "	"$3,257 "										
Average Price	$0.28 	$0.26 	$0.27 	$0.27 	$0.28 	$0.29 	$0.30 	$0.29 	$0.30 	$0.29 	$0.29 	$0.29 	$0.30 	$0.29 										
Average GM	$0.19 	$0.07 	$0.15 	$0.12 	$0.15 	$0.16 	$0.18 	$0.17 	$0.15 	$0.18 	$0.08 	$0.06 	$0.08 	$0.27 										
Average OM	($0.12)	($0.12)	$0.02 	($0.06)	$0.03 	($0.01)	$0.06 	$0.06 	$0.04 	$0.10 	($0.08)	($0.21)	($0.08)	$0.26 										
% Average GM	68.00%	25.70%	56.80%	43.90%	52.10%	53.90%	58.00%	56.80%	50.10%	63.80%	27.60%	20.40%	26.60%	95.80%										
% Average OM	-41.70%	-48.00%	6.20%	-20.90%	12.40%	-2.50%	21.40%	20.80%	12.50%	34.40%	-26.10%	-71.50%	-25.40%	91.30%										
																								
Online Business																								
Online Orders	  -   	  -   	  -   	  -   	  -   	  -   	2	19	20	27	22	23	45	39										
Online Tons	  -   	  -   	  -   	  -   	  -   	  -   	2.1	2.3	1.1	3.3	2.9	4	4.9	2.5										
Online Revenue	"$1,247 "	"$1,347 "	$381 	$862 	$429 	$80 	"$1,544 "	"$5,442 "	"$2,674 "	"$6,420 "	"$5,826 "	"$5,528 "	"$9,601 "	"$4,322 "										
Online Tons/Order	  -   	  -   	  -   	  -   	  -   	  -   	1	0.1	0.1	0.1	0.1	0.2	0.1	0.1										
Online Revenue/Order	$0 	$0 	$0 	$0 	$0 	$0 	$772 	$286 	$134 	$238 	$265 	$240 	$213 	$111 										
Online Avg Price	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.38 	$1.17 	$1.27 	$0.99 	$1.00 	$0.69 	$0.98 	$0.86 										
Online Avg GM	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.25 	$1.04 	$1.12 	$0.88 	$0.80 	$0.45 	$0.77 	$0.85 										
Online Avg OM	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.00 	$0.14 	$0.94 	$1.01 	$0.80 	$0.64 	$0.18 	$0.61 	$0.84 										
